Dep,Prov,Sec,NomDep,NomProv,NombreMunicipio,IdLoc,AsientoElectoral,Reci,NombreRecinto,Dist,NomDist,Zona,NomZona,Direccion,MaxMesasReci,NroCircun,TipoCircun,NomCircun,latitud,longitud,idTipoRecinto,TipoRecinto,idUrbanoRural,descUrbanoRural
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10027,Col. Escuela Poly Villarroel,12,DISTRITO 12,123,243,Urbanizacion Jardin del Sur - Calle santa Rita y Jarajorechi,5,49,Uninominal,Cuadragésimo Novena-Santa Cruz,-17.8723,-63.1315,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10028,Col. Escuela Bolivia Holanda,12,DISTRITO 12,124,244,Barrio Amboro Av. s/n y Av. Coty (Final),18,49,Uninominal,Cuadragésimo Novena-Santa Cruz,-17.86903,-63.14489,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10029,Col. San Francisco Sur,12,DISTRITO 12,76,172,Calle Parada 9 Barrio San Francisco Sur,11,49,Uninominal,Cuadragésimo Novena-Santa Cruz,-17.85275,-63.16087,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10030,Col. Esc.  Amsterdan,12,DISTRITO 12,73,169,B/12 de Abril Parada Final Linea 58,9,49,Uninominal,Cuadragésimo Novena-Santa Cruz,-17.85901,-63.14972,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10031,Col. Esc. Max Fernandez Rojas B,12,DISTRITO 12,85,183,B/26 de Mayo - Calle 5 entre 12 de octubre y C/ 8,15,50,Uninominal,Quincuagésima-Santa Cruz,-17.87381,-63.16543,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10032,U.E.  Magisterio Sur 120 II,12,DISTRITO 12,87,185,Radial 5 de Octubre y calle 13,18,50,Uninominal,Quincuagésima-Santa Cruz,-17.86983,-63.18134,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10033,Colegio Plan 4000,12,DISTRITO 12,127,252,Plan 4000 El Tiluchi - Av 30 de Marzo y final Av. Sinai,17,50,Uninominal,Quincuagésima-Santa Cruz,-17.884708,-63.175941,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10039,Col. Esc. Honorato Mejia,9,DISTRITO 9,89,188,C/ Kiscaluro y Av. Santa Cruz,18,50,Uninominal,Quincuagésima-Santa Cruz,-17.861447,-63.213668,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10040,Col. Luis Espinal Campos,12,DISTRITO 12,81,179,B/La Fortaleza Calle S/Na 5 cuadras de la Av. Nuevo Palmar,22,49,Uninominal,Cuadragésimo Novena-Santa Cruz,-17.86751,-63.16032,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,10041,Col. Esc. Holanda,12,DISTRITO 12,130,257A,B/Alta Palmira C/ Holanda y C/ Palmira a una Cuadra de la Av. Santos Dumont,14,50,Uninominal,Quincuagésima-Santa Cruz,-17.88406,-63.19473,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,11047,U.E. Juana Azurduy de Padilla,8,DISTRITO 8,69,165,A dos cuadras de la Avenida Paurito Urbanizacion El Paraizo,16,48,Uninominal,Cuadragésimo Octava-Santa Cruz,-17.84618,-63.10905,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,11048,Col. Club De Leones,11,DISTRITO 11,167,5,Barrio Lindo C/27 de Mayo,9,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.790739,-63.168952,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,11049,Col. Villa Alegre,12,DISTRITO 12,84,182,El Plan 4000 B/Tiluchi Av. Nueva Jerusalén  entre San Jorge y V. María de Jerusalén,0,50,Uninominal,Quincuagésima-Santa Cruz,-17.87461,-63.17024,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,11050,U.E. Niño Jesús IV,9,DISTRITO 9,9,107,Barrio Los Olivio C/ Pichincha y Aliaga,17,50,Uninominal,Quincuagésima-Santa Cruz,-17.82738,-63.18233,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,11051,Col. Las Americas II,9,DISTRITO 9,35,131,Urb.Las Americas - C/ Colombia y  Canada - 3 Cuadras de la Santos Dumont.,18,50,Uninominal,Quincuagésima-Santa Cruz,-17.86217,-63.19033,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,11053,Col. Covipal,10,DISTRITO 10,90,189,Doble Via La Guardia Km. 8; B/Covipal,4,51,Uninominal,Quincuagésimo Primera-Santa Cruz,-17.84764,-63.236661,7,Unidad Educativa,20,Urbano
